,RF_1_feature,RF_1_importance,RF_2_feature,RF_2_importance,RF_3_feature,RF_3_importance,RF_4_feature,RF_4_importance,RF_5_feature,RF_5_importance,RF_6_feature,RF_6_importance,RF_7_feature,RF_7_importance,RF_8_feature,RF_8_importance,RF_9_feature,RF_9_importance,RF_10_feature,RF_10_importance
0,Volume_7days,0.049434657504410964,Volume_7days,0.07896546284054601,Volume_7days,0.061644214320285246,Volume_7days,0.07407853314774247,Volume_7days,0.0719469467915232,Volume_7days,0.055284679896624764,Volume_7days,0.0696183449018583,Volume_7days,0.06606062952916071,Volume_7days,0.06793225042433207,Volume_7days,0.0734801216807082
1,Volume_15days,0.32509000965515833,Volume_15days,0.2867704464445634,Volume_15days,0.3620804858287975,Volume_15days,0.3031606508921605,Volume_15days,0.33968013548613485,Volume_15days,0.29737175096369517,Volume_15days,0.3133954075395974,Volume_15days,0.3101011987697323,Volume_15days,0.32555658826898565,Volume_15days,0.3055779615737873
3,Tempo_Medio_Email,0.02723186045066174,Tempo_Medio_Email,0.033571138230908605,Tempo_Medio_Email,0.0368082838377161,Tempo_Medio_Email,0.02838322054436089,Tempo_Medio_Email,0.04219326042573904,Tempo_Medio_Email,0.039739207943307944,Tempo_Medio_Email,0.033789756982069846,Tempo_Medio_Email,0.03552936494918163,Tempo_Medio_Email,0.03714800075951948,Tempo_Medio_Email,0.03572025516712404
2,Tempo_Medio_Chat,0.03804160525320886,Tempo_Medio_Chat,0.041125604738130046,Tempo_Medio_Chat,0.04114901355812334,Tempo_Medio_Chat,0.03537732802943773,Tempo_Medio_Chat,0.03635058723789292,Tempo_Medio_Chat,0.03435809194287944,Tempo_Medio_Chat,0.03938339404066401,Tempo_Medio_Chat,0.03959474681198277,Tempo_Medio_Chat,0.03216133449795459,Tempo_Medio_Chat,0.033607662500148724
8,Plan_value,0.004540912302544836,Plan_value,0.0036971474326401924,Plan_value,0.004240179880336936,Plan_value,0.003950343836708157,Plan_value,0.004244149478099748,Plan_value,0.003710747369844808,Plan_value,0.004012773186309159,Plan_value,0.0039138817256955255,Plan_value,0.0037360392983295412,Plan_value,0.0038703192848350775
9,Count_checkin,0.005614564036751001,Count_checkin,0.004773496372246361,Count_checkin,0.005342496378561448,Count_checkin,0.004794377478902979,Count_checkin,0.005163295925231942,Count_checkin,0.0053559175329446675,Count_checkin,0.0051448766984982935,Count_checkin,0.0058115989509300355,Count_checkin,0.004558883180347217,Count_checkin,0.005667572684865867
10,Cancel,0.0023466295148176866,Cancel,0.002841909907678301,Cancel,0.0034806034602620217,Cancel,0.003101629148452063,Cancel,0.003264676853126524,Cancel,0.0029715945292280903,Cancel,0.0029075113032602977,Cancel,0.003439304925013605,Cancel,0.0031537445638858312,Cancel,0.0025129775824101674
7,CSAT_Rated,0.06089719107967896,CSAT_Rated,0.064821092702993,CSAT_Rated,0.056872351706208746,CSAT_Rated,0.06196613987756837,CSAT_Rated,0.04992341244601093,CSAT_Rated,0.05907197943526974,CSAT_Rated,0.050099726005174997,CSAT_Rated,0.05814225582680002,CSAT_Rated,0.07475696932408718,CSAT_Rated,0.05952461872751625
4,AWT_Chat,0.034776436198350705,AWT_Chat,0.039682074551462415,AWT_Chat,0.03108146545028396,AWT_Chat,0.03612150456594378,AWT_Chat,0.044874857714007545,AWT_Chat,0.035441838736453256,AWT_Chat,0.031198248831014592,AWT_Chat,0.027626521609963785,AWT_Chat,0.04420554621089302,AWT_Chat,0.040735492977500544
5,%NFCR,0.43581217862651955,%NFCR,0.4260484682185942,%NFCR,0.384090737396424,%NFCR,0.43779298587837256,%NFCR,0.3910304733014479,%NFCR,0.4568136874401125,%NFCR,0.4372240827700203,%NFCR,0.43151884671945306,%NFCR,0.39341270006110113,%NFCR,0.4240272982470438
6,%Insatisfação(CSAT),0.016213955377897347,%Insatisfação(CSAT),0.01770315856023741,%Insatisfação(CSAT),0.01321016818300078,%Insatisfação(CSAT),0.011273286600350731,%Insatisfação(CSAT),0.01132820434078556,%Insatisfação(CSAT),0.009880504209639662,%Insatisfação(CSAT),0.013225877741533026,%Insatisfação(CSAT),0.01826165018208667,%Insatisfação(CSAT),0.013377943410564332,%Insatisfação(CSAT),0.015275719574060017
